#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wdatap1282
108325,Q108325,Tag:building=chapel
108429,Q108429,Tag:sport=archery
109607,Q109607,Tag:building=ruins|Tag:historic=ruins
110223,Q110223,Tag:denomination=mennonite
110701,Q110701,Tag:electrified=contact_line|Tag:trolley_wire=yes
113603,Q113603,Tag:social_facility=food_bank
118301,Q118301,Tag:healthcare:speciality=orthodontics
120569,Q120569,Tag:healthcare:speciality=gastroenterology
121713,Q121713,Tag:healthcare:speciality=acupuncture
122960,Q122960,Tag:building:architecture=rococo
123028,Q123028,Tag:healthcare:speciality=paediatrics
123559,Q123559,Tag:historic:civilization=islamic_iberia
123705,Q123705,Tag:place=neighbourhood
124282,Q124282,Tag:waterway=dock
124354,Q124354,Tag:building:architecture=bauhaus
124714,Q124714,Tag:natural=spring
126017,Q126017,Key:distance
126807,Q126807,Tag:amenity=kindergarten|Tag:building=kindergarten
126936,Q126936,Tag:historic:civilization=visigothic_kingdom
128033,Q128033,Tag:books:language:eo=yes
128406,Q128406,Tag:healthcare:speciality=pharmacology
129211,Q129211,Tag:zoo=enclosure
130949,Q130949,Key:ski|Tag:sport=skiing
131036,Q131036,Tag:religion=scientologist
131263,Q131263,Tag:military=barracks
131295,Q131295,Tag:amenity=brothel
131471,Q131471,Tag:sport=darts
131473,Q131473,Key:currency:ISK
131502,Q131502,Tag:power=generator
131596,Q131596,Tag:place=farm
131681,Q131681,Tag:landuse=reservoir|Tag:water=reservoir
131723,Q131723,Key:currency:XBT|Key:payment:bitcoin
131734,Q131734,Key:brewery|Tag:craft=brewery
131862,Q131862,Tag:man_made=survey_point
132325,Q132325,Tag:healthcare:speciality=ayurveda
132744,Q132744,Key:fax
132911,Q132911,Tag:highway=elevator
133201,Q133201,Tag:sport=squash
133215,Q133215,Tag:amenity=casino
133800,Q133800,Key:name:pnb
133833,Q133833,Tag:resource=gravel
134178,Q134178,Tag:historic:civilization=minoan
134447,Q134447,Tag:plant:source=nuclear
134574,Q134574,Key:pump
136851,Q136851,Tag:sport=curling
137097,Q137097,Tag:denomination=alevi
142031,Q142031,Tag:railway=funicular
142576,Q142576,Tag:network=PK:national
143746,Q143746,Tag:amenity=compressed_air
144492,Q144492,Tag:bridge:movable=tilt
144964,Q144964,Tag:historic:civilization=thracian
145658,Q145658,Tag:shop=greengrocer
146233,Q146233,Key:name:genitive
148319,Q148319,Tag:amenity=planetarium
148571,Q148571,Tag:barrier=fence|Tag:support=fence
149566,Q149566,Tag:isced:level=2
149621,Q149621,Tag:place=district
152081,Q152081,Tag:prison_camp=concentration_camp
152355,Q152355,Tag:craft=shoemaker
152810,Q152810,Tag:landuse=landfill
153084,Q153084,Tag:man_made=groyne
153551,Q153551,Tag:shop=charity
153697,Q153697,Tag:crop=coffee
154383,Q154383,Key:takeaway
154549,Q154549,Tag:craft=carpenter
155511,Q155511,Tag:landuse=plant_nursery
156354,Q156354,Tag:crop=coffee
156362,Q156362,Tag:craft=winery
156705,Q156705,Key:ref:INSEE
157570,Q157570,Tag:amenity=crematorium
157798,Q157798,Tag:craft=watchmaker
157956,Q157956,Tag:historic:era=dynasty_XIX
158218,Q158218,Tag:bridge:structure=truss
158438,Q158438,Tag:bridge:structure=arch
158555,Q158555,Tag:bridge:structure=cable-stayed
158626,Q158626,Tag:bridge:structure=beam
159354,Q159354,Tag:sport=rowing
159719,Q159719,Tag:power=plant
159992,Q159992,Tag:sport=surfing
160131,Q160131,Tag:craft=bakery
161380,Q161380,Tag:payment:credit_cards=yes
161437,Q161437,Tag:healthcare:speciality=ophthalmology
161851,Q161851,Key:condo
162324,Q162324,Tag:building:architecture=international_style
162555,Q162555,Tag:healthcare:speciality=oncology
162606,Q162606,Tag:healthcare:speciality=endocrinology
162875,Q162875,Tag:tomb=mausoleum
163218,Q163218,Tag:denomination=foursquare
164240,Q164240,Tag:site_type=megalith
165029,Q165029,Tag:craft=electrician
165044,Q165044,Tag:building=greenhouse
166118,Q166118,Tag:amenity=archive
166557,Q166557,Tag:barrier=stile
166735,Q166735,Tag:wetland=swamp
167346,Q167346,Tag:garden:type=botanical
168577,Q168577,Tag:robot:type=vacuum
169180,Q169180,Tag:government=ombudsperson
169358,Q169358,Tag:volcano:type=stratovolcano
170208,Q170208,Tag:denomination=quaker
170285,Q170285,Key:traffic_sign
170321,Q170321,Tag:natural=wetland
170404,Q170404,Key:diplomatic:services:immigrant_visas|Key:diplomatic:services:non-immigrant_visas
170449,Q170449,Tag:surface=mud
170477,Q170477,Tag:man_made=chimney
170737,Q170737,Tag:sport=long_jump
170980,Q170980,Tag:memorial=obelisk
171038,Q171038,Tag:baseball=softball|Tag:sport=softball
171171,Q171171,Tag:healthcare:speciality=dermatology
171201,Q171201,Tag:denomination=hasidic
171401,Q171401,Tag:sport=futsal
171448,Q171448,Tag:railway=level_crossing
171529,Q171529,Key:canoe
171741,Q171741,Tag:healthcare:speciality=depth
171764,Q171764,Tag:denomination=ahmadiyya
172175,Q172175,Tag:denomination=vajrayana
172809,Q172809,Tag:sport=10pin
173387,Q173387,Tag:cemetery=grave
173725,Q173725,Key:air_conditioning
174419,Q174419,Tag:building:architecture=french_second_empire|Tag:building:architecture=second_empire
174782,Q174782,Tag:place=square
174814,Q174814,Tag:power=substation
174945,Q174945,Tag:designation=area_of_outstanding_natural_beauty
176637,Q176637,Tag:shop=pawnbroker
177275,Q177275,Tag:sport=bobsleigh
